symbol,sectorKey,industryKey,sector,industry,updated_utc
GD,industrials,aerospace-defense,Industrials,Aerospace & Defense,2026-03-13T14:01:10Z
GEN,technology,software-infrastructure,Technology,Software - Infrastructure,2026-03-13T17:16:39Z
GIL,consumer-cyclical,apparel-manufacturing,Consumer Cyclical,Apparel Manufacturing,2026-03-13T14:26:07Z
GILD,healthcare,drug-manufacturers-general,Healthcare,Drug Manufacturers - General,2026-03-13T14:01:10Z
GLOB,technology,information-technology-services,Technology,Information Technology Services,2026-03-13T17:16:41Z
GMAB,healthcare,biotechnology,Healthcare,Biotechnology,2026-03-13T17:16:41Z
GNTX,consumer-cyclical,auto-parts,Consumer Cyclical,Auto Parts,2026-03-13T14:26:09Z
GOOG,communication-services,internet-content-information,Communication Services,Internet Content & Information,2026-03-13T17:16:42Z
GPC,consumer-cyclical,auto-parts,Consumer Cyclical,Auto Parts,2026-03-13T14:01:11Z
GPGI,industrials,metal-fabrication,Industrials,Metal Fabrication,2026-03-13T17:16:44Z
GPK,consumer-cyclical,packaging-containers,Consumer Cyclical,Packaging & Containers,2026-03-13T14:26:09Z
GPN,industrials,specialty-business-services,Industrials,Specialty Business Services,2026-03-13T14:26:10Z
GRAL,healthcare,diagnostics-research,Healthcare,Diagnostics & Research,2026-03-13T14:01:11Z
GTES,industrials,specialty-industrial-machinery,Industrials,Specialty Industrial Machinery,2026-03-13T14:26:11Z
GTM,technology,software-application,Technology,Software - Application,2026-03-13T14:01:12Z
HALO,healthcare,biotechnology,Healthcare,Biotechnology,2026-03-13T17:16:46Z
HASI,financial-services,asset-management,Financial Services,Asset Management,2026-03-13T14:01:12Z
HOG,consumer-cyclical,recreational-vehicles,Consumer Cyclical,Recreational Vehicles,2026-03-13T14:01:13Z
HOOD,financial-services,capital-markets,Financial Services,Capital Markets,2026-03-13T17:16:48Z
HRB,consumer-cyclical,personal-services,Consumer Cyclical,Personal Services,2026-03-13T14:01:13Z
HRL,consumer-defensive,packaged-foods,Consumer Defensive,Packaged Foods,2026-03-13T14:26:12Z
HSAI,consumer-cyclical,auto-parts,Consumer Cyclical,Auto Parts,2026-03-13T17:16:49Z
HST,real-estate,reit-hotel-motel,Real Estate,REIT - Hotel & Motel,2026-03-13T14:26:13Z
HTFL,healthcare,health-information-services,Healthcare,Health Information Services,2026-03-13T17:16:51Z
HTGC,financial-services,asset-management,Financial Services,Asset Management,2026-03-13T17:16:51Z
HUN,basic-materials,chemicals,Basic Materials,Chemicals,2026-03-13T14:01:14Z
HUT,financial-services,capital-markets,Financial Services,Capital Markets,2026-03-13T14:01:14Z
HXL,industrials,aerospace-defense,Industrials,Aerospace & Defense,2026-03-13T14:26:14Z
HYMC,basic-materials,gold,Basic Materials,Gold,2026-03-13T14:26:15Z
INFY,technology,information-technology-services,Technology,Information Technology Services,2026-03-13T17:16:55Z
INSP,healthcare,medical-devices,Healthcare,Medical Devices,2026-03-13T17:16:55Z
INTR,financial-services,banks-regional,Financial Services,Banks - Regional,2026-03-13T17:16:56Z
INTU,technology,software-application,Technology,Software - Application,2026-03-13T17:16:57Z
IR,industrials,specialty-industrial-machinery,Industrials,Specialty Industrial Machinery,2026-03-13T14:26:15Z
